1,1,0,428
2,2,28,456
3,1,428,856
4,2,456,884
5,1,856,1284
6,2,884,1312
7,1,1284,1712
8,2,1312,1740
9,1,1712,2140
10,2,1740,2168
11,1,2140,2568
12,2,2168,2596
13,1,2568,2996
14,2,2596,3024
15,1,2996,3424
16,2,3024,3452
17,1,3424,3852
18,2,3452,3880
19,1,3852,4280
20,2,3880,4308
21,1,4280,4708
22,2,4308,4736
23,1,4708,5136
24,2,4736,5164
25,1,5136,5564
26,2,5164,5592
27,1,5564,5992
28,2,5592,6020
29,1,5992,6420
30,2,6020,6448
31,1,6420,6848
32,2,6448,6876
33,1,6848,7276
34,2,6876,7304
35,1,7276,7704
36,2,7304,7732
37,1,7704,8132
38,2,7732,8160
39,1,8132,8560
40,2,8160,8588
41,1,8560,8988
42,2,8588,9016
43,1,8988,9416
44,2,9016,9444
45,1,9416,9844
46,2,9444,9872
47,1,9844,10272
48,2,9872,10300
49,1,10272,10700
50,2,10300,10728
51,1,10700,11128
52,2,10728,11156
53,1,11128,11556
54,2,11156,11584
55,1,11556,11984
56,2,11584,12012
57,1,11984,12412
58,2,12012,12440
59,1,12412,12840
60,2,12440,12868
61,1,12840,13268
62,2,12868,13296
63,1,13268,13696
64,2,13296,13724
65,1,13696,14124
66,2,13724,14152
67,1,14124,14552
68,2,14152,14580
69,1,14552,14980
70,2,14580,15008
71,1,14980,15408
72,2,15008,15436
73,1,15408,15836
74,2,15436,15864
75,1,15836,16264
76,2,15864,16292
77,1,16264,16692
78,2,16292,16720
79,1,16692,17120
80,2,16720,17148
81,1,17120,17548
82,2,17148,17576
83,1,17548,17976
84,2,17576,18004
85,1,17976,18404
86,2,18004,18432
87,1,18404,18832
88,2,18432,18860
89,1,18832,19260
90,2,18860,19288
91,1,19260,19688
92,2,19288,19716
93,1,19688,20116
94,2,19716,20144
95,1,20116,20544
96,2,20144,20572
97,1,20544,20972
98,2,20572,21000
99,1,20972,21400
100,2,21000,21428
101,1,21400,21828
102,2,21428,21856
103,1,21828,22256
104,2,21856,22284
105,1,22256,22684
106,2,22284,22712
107,1,22684,23112
108,2,22712,23140
109,1,23112,23540
110,2,23140,23568
111,1,23540,23968
112,2,23568,23996
113,1,23968,24396
114,2,23996,24424
115,1,24396,24824
116,2,24424,24852
117,1,24824,25252
118,2,24852,25280
119,1,25252,25680
120,2,25280,25708
121,1,25680,26108
122,2,25708,26136
123,1,26108,26536
124,2,26136,26564
125,1,26536,26964
126,2,26564,26992
127,1,26964,27392
128,2,26992,27420
129,1,27392,27820
130,2,27420,27848
131,1,27820,28248
132,2,27848,28276
133,1,28248,28676
134,2,28276,28704
